,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
46341,46341,Gurdon S Hubbard High School,Network 16,NETWORK 16,289,0,24069358.0,0,1606,6429.71,80.3
22161,22161,Perkins Bass School,Network 11,NETWORK 11,83,0,5755727.0,0,284,8247.08,88.0
41111,41111,Marine Leadership Acad at Ames,Network 14,NETWORK 14,146,0,11236498.0,0,570,8418.11,84.4
23531,23531,Charles G Hammond School,Network 7,NETWORK 7,72,0,4837926.0,0,225,8938.81,89.4
26591,26591,Medgar Evers School,Network 11,NETWORK 11,59,0,4461548.0,0,201,8444.02,91.1
31251,31251,Thomas J Higgins Comm Academy,Network 13,NETWORK 13,62,0,4637221.0,0,263,7189.49,89.6
25301,25301,William H Seward Com Arts Acad,Network 8,NETWORK 8,88,0,6926262.0,0,362,7509.35,90.3
46061,46061,Northside College Prep,Network 14,NETWORK 14,188,0,15945416.0,0,1068,6438.85,92.4
25731,25731,John A Walsh School,Network 7,NETWORK 7,86,0,6917397.0,0,299,9217.25,90.5
46321,46321,Lincoln Park High School,Network 14,NETWORK 14,331,0,27526545.0,0,2218,5211.99,84.6
46271,46271,Theodore Roosevelt High School,Network 14,NETWORK 14,232,0,17774599.0,0,1086,7012.89,78.6
29161,29161,Lasalle Language Academy,Network 4,NETWORK 4,108,0,7513314.0,0,466,7009.73,92.9
22521,22521,Little Village Academy,ISP,NETWORK 7,143,0,11381912.0,0,549,8692.51,89.9
23051,23051,Christian Ebinger School,Network 1,NETWORK 1,134,0,10317811.0,0,694,6219.75,93.5
23081,23081,Richard Edwards School,Network 8,NETWORK 8,247,0,18630640.0,0,1147,6298.58,90.6
70070,70070,Chicago Military Academy,Network 17,NETWORK 17,77,0,4857148.0,0,231,7624.04,81.9
53101,53101,Marie Sklodowska Curie Metro H,Network 15,NETWORK 15,459,0,38579536.0,0,2982,4968.17,77.6
24671,24671,Florence Nightingale School,Network 8,NETWORK 8,175,0,14433752.0,0,883,7075.62,92.2
23031,23031,Charles W Earle School,Network 11,NETWORK 11,78,0,5190912.0,0,277,6781.92,92.3
41061,41061,Frederick A Douglass Mid Acad,Network 15,NETWORK 15,35,0,2550736.0,0,30,27222.56,75.4
29261,29261,Edgar Allan Poe Classical Scho,Network 13,NETWORK 13,46,0,3485798.0,0,229,6113.51,95.3
22331,22331,Orville T Bright Elementary School,Network 13,NETWORK 13,83,0,5061161.0,0,190,10455.03,85.7
23621,23621,Stephen K Hayt School,Network 2,NETWORK 2,163,0,12776309.0,0,811,6513.62,91.0
22321,22321,Norman Bridge School,Network 1,NETWORK 1,184,0,14897936.0,0,1072,6008.13,91.2
22761,22761,Henry Clissold School,Network 10,NETWORK 10,120,0,8791776.0,0,461,6520.55,91.6
23681,23681,James Hedges School Main,Network 8,NETWORK 8,106,0,7492529.0,0,483,6143.02,91.3
23821,23821,Charles N Holden School,ISP,NETWORK 6,93,0,6785492.0,0,406,7232.93,91.3
26631,26631,Oscar Depriest School,Network 3,NETWORK 3,114,0,8191097.0,0,428,7458.26,86.5
46131,46131,Foreman College and Career Acd,Network 14,NETWORK 14,155,0,11551046.0,0,618,7650.95,73.9
23381,23381,Robert J. Richardson Middle,Network 10,NETWORK 10,148,0,12934399.0,0,806,6924.14,90.5
24961,24961,Josiah L Pickard School,Network 7,NETWORK 7,81,0,6300146.0,0,320,7729.65,94.0
22371,22371,Bouchet Academy,Network 12,NETWORK 12,137,0,9619293.0,0,612,5556.67,87.2
24221,24221,Henry D Lloyd School,Network 3,NETWORK 3,148,0,12014533.0,0,803,6455.2,90.3
53041,53041,Charles Allen Prosser Car Acd,Network 15,NETWORK 15,220,0,18332289.0,0,1221,5931.14,82.0
46171,46171,Hyde Park Career Academy,Network 17,NETWORK 17,122,0,9136914.0,0,857,3951.1,77.4
23911,23911,Edward N Hurley School,Network 10,NETWORK 10,135,0,10468373.0,0,734,6130.73,91.5
29181,29181,James E Mcdade Classical Sch,Network 12,NETWORK 12,38,0,2672654.0,0,208,4631.71,95.6
24441,24441,Emmit Louis Till Math/Sci Acad,Network 9,NETWORK 9,80,0,5212816.0,0,346,6220.67,84.1
22041,22041,Alcott Col Prep ES,Network 4,NETWORK 4,131,0,10298443.0,0,550,7747.82,94.2
46431,46431,North Grand High School,Network 15,NETWORK 15,215,0,17232675.0,0,1021,6971.22,80.9
26781,26781,Talman School,ISP,NETWORK 8,95,0,5885705.0,0,321,7059.37,90.4
23931,23931,Minnie Mars Jamieson School,Network 2,NETWORK 2,149,0,11652142.0,0,801,6131.1,93.2
46221,46221,Albert G Lane Tech High School,Network 14,NETWORK 14,646,0,55954083.0,0,4648,5445.87,90.8
23891,23891,Countee Cullen School,Network 13,NETWORK 13,41,0,3235865.0,0,162,7917.32,93.0
23161,23161,James B Farnsworth School,Network 1,NETWORK 1,130,0,10380767.0,0,486,8703.05,90.7
