Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
66254,ASPIRA Charter - Early College Campus,Charter,2,0,43942,0,266,0.0
29101,LaSalle Language Magnet School,ISP,58,37,3958792,3052425,582,5244.7
29391,Davis Magnet School,ISP,29,15,1452869,849648,130,6535.75
23281,Robert Fulton School,Network 8,43,25,2589340,1885354,331,5695.9
12280,Business Diversity,,7,0,563756,0,0,0.0
26921,Disney II Magnet School,Network 14,110,75,6339815,4778005,427,11189.69
26091,Morton School of Excellence,Network 5,40,21,2069003,1278660,258,4956.06
28151,Orr Academy,Network 15,43,21,2447869,1473889,308,4785.33
23851,Julia Ward Howe School,Network 3,53,28,2726076,1786985,342,5225.08
28081,Edison Park Elementary School,Network 1,64,36,3579112,2495521,399,6254.43
11510,Language & Cultural Education,,7,0,479564,0,0,0.0
12150,City Wide Capital Operations,,8,0,462500,0,0,0.0
11860,Facility Operations & Maint,,12,0,970063,0,0,0.0
15500,Planning and Data Management,,6,0,404875,0,0,0.0
10811,School Quality Measurement,,15,0,1301955,0,0,0.0
22841,Anna R. Langford Comm Acad,Network 11,31,17,1666552,1046860,158,6625.7
46151,Harper High School,,31,14,1694034,928885,0,0.0
10430,Internal Audit & Compliance,,15,0,798357,0,0,0.0
26141,John Fostr Dulles Sch of Excel,Network 9,64,36,3472740,2314006,656,3527.39
63011,Global Citizenship School,,6,0,151150,0,0,0.0
26541,Carter G Woodson South,Network 9,42,22,2152126,1407162,281,5007.69
14060,Family & Community Engagement,,35,0,1817553,0,0,0.0
66281,Chicago Math and Science Academy (CMSA) Charter School,Charter,2,0,19683,0,608,0.0
45231,Air Force Academy High School,Network 16,39,20,2353010,1311151,142,9233.46
22441,Irene C. Hernandez Middle Schl,ISP,89,60,5638877,4234920,712,5947.91
22251,South Shore Fine Arts Academy,Network 12,51,29,2696726,1884701,211,8932.21
26231,James W Johnson Sch of Excel,Network 5,45,26,1950796,1200316,171,7019.35
22591,Skinner North,Network 4,43,30,2626921,1992314,513,3883.65
22581,Dr. Jorge Prieto Math & Sci Ac,Network 3,92,64,5796557,4562767,693,6584.1
