School_ID,Short_Name,Long_Name
610212,ALBANY PARK,Albany Park Multicultural Academy
610213,WADSWORTH,James Wadsworth Elementary School
610215,MADERO,Francisco I Madero Middle School
610216,WALSH,John A Walsh Elementary School
610217,WARD J,James Ward Elementary School
610218,WARREN,Joseph Warren Elementary School
610219,WASHINGTON G ES,George Washington Elementary School
610220,WATERS,Thomas J Waters Elementary School
610221,WEBSTER,Daniel Webster Elementary School
610223,WENTWORTH,Daniel S Wentworth Elementary School
610225,WHISTLER,John Whistler Elementary School
610226,SANDOVAL,Socorro Sandoval Elementary School
610227,WHITNEY,Eli Whitney Elementary School
610228,WHITTIER,John Greenleaf Whittier Elementary School
610229,PRITZKER,A.N. Pritzker School
610230,WILDWOOD,Wildwood IB World Magnet School
610231,NATIONAL TEACHERS,National Teachers Elementary Academy
610234,YATES,Richard Yates Elementary School
610235,YOUNG ES,Ella Flagg Young Elementary School
610237,BEETHOVEN,Ludwig Van Beethoven Elementary School
610238,BOND,Carrie Jacobs Bond Elementary School
610239,DALEY,Richard J Daley Elementary Academy
610242,BRENNEMANN,Joseph Brennemann Elementary School
610244,CLARK HS,Michele Clark Academic Prep Magnet High School
610245,DOUGLASS HS,Frederick A Douglass Academy High School
610246,BEASLEY,Edward Beasley Elementary Magnet Academic Center
610248,CHICAGO ACADEMY ES,Chicago Academy Elementary School
610249,TALMAN,Talman Elementary School
610250,SALAZAR,Ruben Salazar Elementary Bilingual Center
610251,CATHER,Willa Cather Elementary School
610252,DETT,Robert Nathaniel Dett Elementary School
610254,DVORAK,Dvorak Technology Academy
610256,ROBINSON,Jackie Robinson Elementary School
610257,MORTON,Morton School of Excellence
610263,DULLES,John Foster Dulles Elementary School
610268,ASHE,Arthur R Ashe Elementary School
610269,MCCUTCHEON,John T McCutcheon Elementary School
610271,JENSEN,Jensen Elementary Scholastic Academy
610274,JOHNSON,James Weldon Johnson Elementary School
610276,MOLLISON,Irvin C Mollison Elementary School
610279,TANNER,Henry O Tanner Elementary School
610281,POWELL,Adam Clayton Powell Paideia Community Academy ES
610282,MCNAIR,Ronald E McNair Elementary School
610284,NEW FIELD,New Field Elementary School
610287,ASHBURN,Ashburn Community Elementary School
610290,MAYS,Benjamin E Mays Elementary Academy
610291,LEE,Richard Henry Lee Elementary School
610293,MELODY,Genevieve Melody Elementary School
610295,HIGGINS,Thomas J Higgins Elementary Community Academy
610298,LENART,Lenart Elementary Regional Gifted Center
610299,KING ES,Dr. Martin L. King Jr Academy of Social Justice
610300,WESTCOTT,Oliver S Westcott Elementary School
